date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:17	54089/54089	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202022%2016:03:32%20GMT	https://bestwpware.com/html/tf/edumim/?storefront=envato-elements	/Users/thangnguyen/Documents/ICC/ITLAB/Project/Httrack/topdonhang/bestwpware.com/html/tf/edumim/index04b9.html	(from )
09:30:17	125/125	---M-Z	200	added ('OK')	text/plain	etag:%2238592-1694745016;gz%22	https://bestwpware.com/robots.txt		(from )
09:30:18	66672/66672	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Sep%202023%2002:30:19%20GMT	https://bestwpware.com/html/tf/edumim/assets/images/logo/favicon.svg	/Users/thangnguyen/Documents/ICC/ITLAB/Project/Httrack/topdonhang/bestwpware.com/html/tf/edumim/assets/images/logo/favicon.svg	(from https://bestwpware.com/html/tf/edumim/?storefront=envato-elements)
09:30:19	41029/41029	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2015:58:20%20GMT	https://bestwpware.com/html/tf/edumim/assets/css/rt-plugins.css	/Users/thangnguyen/Documents/ICC/ITLAB/Project/Httrack/topdonhang/bestwpware.com/html/tf/edumim/assets/css/rt-plugins.css	(from https://bestwpware.com/html/tf/edumim/?storefront=envato-elements)
09:30:19	128341/128341	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2015:58:20%20GMT	https://bestwpware.com/html/tf/edumim/assets/css/app.css	/Users/thangnguyen/Documents/ICC/ITLAB/Project/Httrack/topdonhang/bestwpware.com/html/tf/edumim/assets/css/app.css	(from https://bestwpware.com/html/tf/edumim/?storefront=envato-elements)
09:30:21	54089/54089	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202022%2016:03:32%20GMT	https://bestwpware.com/html/tf/edumim/index.html	/Users/thangnguyen/Documents/ICC/ITLAB/Project/Httrack/topdonhang/bestwpware.com/html/tf/edumim/index.html	(from https://bestwpware.com/html/tf/edumim/?storefront=envato-elements)
09:30:21	2829/2829	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Oct%202022%2015:58:28%20GMT	https://bestwpware.com/html/tf/edumim/assets/images/logo/logo.svg	/Users/thangnguyen/Documents/ICC/ITLAB/Project/Httrack/topdonhang/bestwpware.com/html/tf/edumim/assets/images/logo/logo.svg	(from https://bestwpware.com/html/tf/edumim/?storefront=envato-elements)
09:30:23	59358/59358	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202022%2016:03:32%20GMT	https://bestwpware.com/html/tf/edumim/index2.html	/Users/thangnguyen/Documents/ICC/ITLAB/Project/Httrack/topdonhang/bestwpware.com/html/tf/edumim/index2.html	(from https://bestwpware.com/html/tf/edumim/?storefront=envato-elements)
09:30:24	58728/58728	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202022%2016:03:32%20GMT	https://bestwpware.com/html/tf/edumim/index3.html	/Users/thangnguyen/Documents/ICC/ITLAB/Project/Httrack/topdonhang/bestwpware.com/html/tf/edumim/index3.html	(from https://bestwpware.com/html/tf/edumim/?storefront=envato-elements)
09:30:25	37012/37012	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Oct%202022%2016:03:32%20GMT	https://bestwpware.com/html/tf/edumim/about.html	/Users/thangnguyen/Documents/ICC/ITLAB/Project/Httrack/topdonhang/bestwpware.com/html/tf/edumim/about.html	(from https://bestwpware.com/html/tf/edumim/?storefront=envato-elements)
